Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 4.311000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 4.311000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 4.311000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 4.311000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 4.311000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 4.311000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 4.311000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 4.311000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 4.311000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 4.311000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 4.311000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 4.311000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 4.311000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 4.311000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 4.311000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 4.311000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 4.311000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 4.311000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 4.311000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 4.311000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 4.311000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 4.311000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 4.311000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 4.311000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 4.311000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 4.311000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 4.311000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 4.311000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 4.311000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 4.311000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 4.311000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 4.311000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 4.311000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 4.311000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 4.311000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 4.311000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 4.311000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.042419, 4.311518, 1.792438, 1.648756, -3.024888, -70.497768, 0.024241, 
50, 3.119523, 4.315003, 1.869621, 1.543666, -2.101786, 18.462038, 0.065435, 
50, 3.197520, 4.321619, 1.947898, 1.565547, 0.437619, 50.788119, 0.103113, 
50, 3.276407, 4.331165, 2.027361, 1.589243, 0.473912, 0.725860, 0.136985, 
50, 3.356179, 4.343409, 2.108067, 1.614124, 0.497629, 0.474322, 0.166859, 
50, 3.435793, 4.357893, 2.188988, 1.618419, 0.085891, -8.234742, 0.192322, 
50, 3.514086, 4.374017, 2.268924, 1.598719, -0.394001, -9.597849, 0.213212, 
50, 3.590922, 4.391348, 2.347690, 1.575317, -0.468028, -1.480540, 0.229827, 
50, 3.666256, 4.409501, 2.425181, 1.549821, -0.509938, -0.838201, 0.242504, 
50, 3.740054, 4.428134, 2.501294, 1.522259, -0.551222, -0.825685, 0.251575, 
50, 3.812281, 4.446940, 2.575929, 1.492715, -0.590893, -0.793406, 0.257357, 
50, 3.882909, 4.465652, 2.648994, 1.461289, -0.628516, -0.752475, 0.260154, 
50, 3.951906, 4.484037, 2.720398, 1.428088, -0.664016, -0.709999, 0.260249, 
50, 4.019238, 4.501897, 2.790059, 1.393212, -0.697523, -0.670127, 0.257914, 
50, 4.084867, 4.519063, 2.857896, 1.356749, -0.729269, -0.634934, 0.253401, 
50, 4.148751, 4.535399, 2.923835, 1.318772, -0.759524, -0.605084, 0.246956, 
50, 4.210838, 4.550793, 2.987802, 1.279345, -0.788540, -0.580326, 0.238810, 
50, 4.271074, 4.565160, 3.049728, 1.238519, -0.816532, -0.559837, 0.229190, 
50, 4.329398, 4.578440, 3.109545, 1.196336, -0.843656, -0.542479, 0.218312, 
50, 4.385744, 4.590595, 3.167187, 1.152836, -0.870005, -0.526983, 0.206389, 
50, 4.440041, 4.601608, 3.222589, 1.108055, -0.895609, -0.512093, 0.193627, 
50, 4.492217, 4.611482, 3.275691, 1.062033, -0.920443, -0.496675, 0.180226, 
50, 4.542196, 4.620235, 3.326432, 1.014811, -0.944433, -0.479799, 0.166377, 
50, 4.589906, 4.627905, 3.374753, 0.966438, -0.967473, -0.460794, 0.152268, 
50, 4.635271, 4.634540, 3.420602, 0.916966, -0.989437, -0.439276, 0.138073, 
50, 4.678223, 4.640203, 3.463925, 0.866456, -1.010194, -0.415148, 0.123961, 
50, 4.718692, 4.644962, 3.504673, 0.814975, -1.029623, -0.388576, 0.110086, 
50, 4.756619, 4.648897, 3.542803, 0.762594, -1.047620, -0.359944, 0.096595, 
50, 4.791944, 4.652090, 3.578273, 0.709389, -1.064110, -0.329791, 0.083619, 
50, 4.824617, 4.654626, 3.611044, 0.655436, -1.079047, -0.298750, 0.071278, 
50, 4.854594, 4.656593, 3.641085, 0.600815, -1.092421, -0.267476, 0.059681, 
50, 4.881834, 4.658074, 3.668365, 0.545603, -1.104251, -0.236596, 0.048922, 
50, 4.906304, 4.659152, 3.692859, 0.489874, -1.114583, -0.206653, 0.039084, 
50, 4.927976, 4.659903, 3.714544, 0.433699, -1.123487, -0.178082, 0.030239, 
50, 4.946826, 4.660400, 3.733401, 0.377147, -1.131047, -0.151189, 0.022447, 
50, 4.962837, 4.660706, 3.749415, 0.320279, -1.137354, -0.126143, 0.015760, 
50, 4.975994, 4.660877, 3.762573, 0.263154, -1.142503, -0.102982, 0.010218, 
50, 4.986285, 4.660960, 3.772864, 0.205825, -1.146585, -0.081627, 0.005854, 
50, 4.993702, 4.660992, 3.780281, 0.148341, -1.149679, -0.061894, 0.002694, 
50, 4.998239, 4.660999, 3.784819, 0.090748, -1.151855, -0.043517, 0.000754, 
