Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 5.811000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 5.811000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 5.811000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 5.811000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 5.811000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 5.811000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 5.811000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 5.811000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 5.811000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 5.811000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 5.811000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 5.811000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 5.811000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 5.811000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 5.811000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 5.811000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 5.811000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 5.811000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 5.811000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 5.811000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 5.811000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 5.811000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 5.811000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 5.811000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 5.811000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 5.811000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 5.811000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 5.811000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 5.811000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 5.811000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 5.811000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 5.811000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 5.811000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 5.811000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 5.811000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 5.811000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 5.811000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.065400, 5.809382, 1.815430, 2.108608, 6.172162, 113.443249, 6.233438, 
50, 3.184071, 5.797894, 1.934655, 2.384497, 5.517772, -13.087816, 6.139326, 
50, 3.302046, 5.774912, 2.054848, 2.403864, 0.387355, -102.608330, 6.042089, 
50, 3.417020, 5.740662, 2.174815, 2.399338, -0.090536, -9.557824, 5.945583, 
50, 3.526896, 5.696277, 2.293317, 2.370039, -0.585972, -9.908726, 5.853803, 
50, 3.630224, 5.643549, 2.409322, 2.320085, -0.999090, -8.262358, 5.770079, 
50, 3.726380, 5.584519, 2.522151, 2.256595, -1.269783, -5.413848, 5.696589, 
50, 3.815467, 5.521120, 2.631494, 2.186860, -1.394714, -2.498630, 5.634336, 
50, 3.897963, 5.455080, 2.737168, 2.113474, -1.467708, -1.459882, 5.583496, 
50, 3.973692, 5.388642, 2.837910, 2.014837, -1.972743, -10.100690, 5.544105, 
50, 4.042873, 5.323659, 2.932824, 1.898290, -2.330948, -7.164103, 5.515423, 
50, 4.106621, 5.260841, 3.022322, 1.789952, -2.166752, 3.283914, 5.496126, 
50, 4.165855, 5.200679, 3.106751, 1.688577, -2.027501, 2.785021, 5.485091, 
50, 4.221315, 5.143519, 3.186394, 1.592869, -1.914154, 2.266941, 5.481407, 
50, 4.273581, 5.089612, 3.261479, 1.501689, -1.823599, 1.811098, 5.484343, 
50, 4.323102, 5.039143, 3.332185, 1.414128, -1.751232, 1.447345, 5.493317, 
50, 4.370214, 4.992244, 3.398661, 1.329523, -1.692104, 1.182549, 5.507853, 
50, 4.415165, 4.949004, 3.461034, 1.247454, -1.641367, 1.014742, 5.527544, 
50, 4.458127, 4.909465, 3.519421, 1.167733, -1.594424, 0.938867, 5.552012, 
