Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 3.311000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 3.311000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 3.311000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 3.311000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 3.311000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 3.311000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 3.311000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 3.311000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 3.311000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 3.311000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 3.311000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 3.311000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 3.311000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 3.311000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 3.311000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 3.311000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 3.311000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 3.311000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 3.311000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 3.311000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 3.311000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 3.311000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 3.311000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 3.311000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 3.311000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 3.311000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 3.311000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 3.311000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 3.311000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 3.311000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 3.311000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 3.311000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 3.311000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 3.311000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 3.311000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 3.311000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 3.311000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.034637, 3.311840, 1.784659, 1.493179, -6.136418, -132.728360, 0.049206, 
50, 3.094642, 3.317615, 1.844942, 1.205654, -5.750495, 7.718458, 0.144686, 
50, 3.151731, 3.328898, 1.903135, 1.163860, -0.835881, 98.292273, 0.246878, 
50, 3.206468, 3.345791, 1.960419, 1.145696, -0.363287, 9.451883, 0.351986, 
50, 3.259666, 3.368545, 2.018279, 1.157193, 0.229933, 11.864398, 0.455249, 
50, 3.312083, 3.397501, 2.078162, 1.197665, 0.809447, 11.590293, 0.552012, 
50, 3.364199, 3.432906, 2.141167, 1.260100, 1.248693, 8.784911, 0.638749, 
50, 3.416197, 3.474742, 2.207905, 1.334756, 1.493133, 4.888800, 0.713497, 
50, 3.468087, 3.522688, 2.278555, 1.413000, 1.564886, 1.435062, 0.775679, 
50, 3.519864, 3.576198, 2.353015, 1.489187, 1.523732, -0.823080, 0.825624, 
50, 3.571189, 3.634127, 2.430410, 1.547913, 1.174511, -6.984414, 0.863826, 
50, 3.621525, 3.694810, 2.509253, 1.576849, 0.578733, -11.915570, 0.891051, 
50, 3.670828, 3.757010, 2.588623, 1.587398, 0.210981, -7.355035, 0.908547, 
50, 3.719400, 3.819972, 2.668143, 1.590413, 0.060296, -3.013703, 0.917522, 
50, 3.767565, 3.883070, 2.747523, 1.587595, -0.056369, -2.333297, 0.918912, 
50, 3.815641, 3.945779, 2.826540, 1.580348, -0.144939, -1.771394, 0.913428, 
50, 3.863934, 4.007650, 2.905028, 1.569751, -0.211926, -1.339754, 0.901609, 
50, 3.912725, 4.068287, 2.982856, 1.556569, -0.263657, -1.034612, 0.883868, 
50, 3.962259, 4.127321, 3.059919, 1.541262, -0.306141, -0.849675, 0.860547, 
50, 4.012738, 4.184403, 3.136120, 1.524004, -0.345146, -0.780104, 0.831960, 
50, 4.064304, 4.239186, 3.211354, 1.504693, -0.386231, -0.821694, 0.798435, 
50, 4.117027, 4.291323, 3.285502, 1.482963, -0.434595, -0.967294, 0.760363, 
50, 4.170886, 4.340468, 3.358414, 1.458229, -0.494684, -1.201770, 0.718226, 
50, 4.225757, 4.386290, 3.429901, 1.429751, -0.569545, -1.497218, 0.672625, 
50, 4.281406, 4.428485, 3.499739, 1.396747, -0.660090, -1.810911, 0.624291, 
50, 4.337490, 4.466807, 3.567665, 1.358521, -0.764520, -2.088601, 0.574062, 
50, 4.393573, 4.501088, 3.633395, 1.314609, -0.878237, -2.274322, 0.522854, 
50, 4.449155, 4.531263, 3.696640, 1.264886, -0.994465, -2.324571, 0.471603, 
50, 4.503706, 4.557379, 3.757120, 1.209609, -1.105529, -2.221284, 0.421202, 
50, 4.556709, 4.579593, 3.814589, 1.149389, -1.204398, -1.977367, 0.372446, 
50, 4.607688, 4.598158, 3.868844, 1.085090, -1.285987, -1.631780, 0.325992, 
50, 4.656237, 4.613398, 3.919729, 1.017699, -1.347823, -1.236725, 0.282336, 
50, 4.702029, 4.625680, 3.967139, 0.948200, -1.389974, -0.843021, 0.241818, 
50, 4.744814, 4.635391, 4.011013, 0.877478, -1.414448, -0.489472, 0.204634, 
50, 4.784419, 4.642914, 4.051326, 0.806259, -1.424379, -0.198636, 0.170863, 
50, 4.820730, 4.648612, 4.088081, 0.735095, -1.423284, 0.021916, 0.140496, 
50, 4.853681, 4.652817, 4.121299, 0.664369, -1.414514, 0.175400, 0.113462, 
50, 4.883244, 4.655829, 4.151015, 0.594321, -1.400958, 0.271112, 0.089653, 
50, 4.909415, 4.657908, 4.177269, 0.525075, -1.384928, 0.320600, 0.068939, 
50, 4.932207, 4.659278, 4.200102, 0.456666, -1.368169, 0.335184, 0.051185, 
50, 4.951642, 4.660128, 4.219556, 0.389070, -1.351937, 0.324639, 0.036260, 
50, 4.967746, 4.660614, 4.235666, 0.322215, -1.337098, 0.296772, 0.024046, 
50, 4.980543, 4.660860, 4.248466, 0.256003, -1.324226, 0.257437, 0.014437, 
50, 4.990059, 4.660964, 4.257982, 0.190319, -1.313685, 0.210822, 0.007351, 
50, 4.996310, 4.660995, 4.264234, 0.125034, -1.305696, 0.159782, 0.002722, 
50, 4.999311, 4.661000, 4.267235, 0.060015, -1.300386, 0.106204, 0.000508, 
50, 5.000000, 4.661000, 4.267924, 0.013779, -0.924724, 7.513240, 0.000000, 
50, 5.000000, 4.661000, 4.267924, 0.000000, -0.275575, 12.982984, 0.000000, 
