Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 5.811000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 5.811000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 5.811000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 5.811000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 5.811000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 5.811000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 5.811000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 5.811000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 5.811000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 5.811000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 5.811000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 5.811000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 5.811000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 5.811000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 5.811000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 5.811000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 5.811000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 5.811000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 5.811000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 5.811000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 5.811000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 5.811000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 5.811000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 5.811000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 5.811000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 5.811000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 5.811000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 5.811000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 5.811000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 5.811000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 5.811000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 5.811000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 5.811000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 5.811000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 5.811000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 5.811000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 5.811000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.069738, 5.808801, 1.819778, 2.195556, 7.911112, 148.222235, 6.219436, 
50, 3.198797, 5.792273, 1.949890, 2.602251, 8.133913, 4.456027, 6.090165, 
50, 3.328661, 5.757137, 2.084424, 2.690666, 1.768305, -127.312165, 5.946598, 
50, 3.453220, 5.702908, 2.220276, 2.717038, 0.527429, -24.817509, 5.798766, 
50, 3.565877, 5.633133, 2.352791, 2.650301, -1.334744, -37.243463, 5.660168, 
50, 3.662358, 5.554594, 2.477197, 2.488131, -3.243394, -38.173001, 5.542181, 
50, 3.742877, 5.473488, 2.591484, 2.285731, -4.048004, -16.092209, 5.448794, 
50, 3.810297, 5.393430, 2.696149, 2.093302, -3.848577, 3.988545, 5.378370, 
50, 3.867619, 5.316357, 2.792201, 1.921041, -3.445229, 8.066954, 5.327639, 
50, 3.917351, 5.243205, 2.880657, 1.769122, -3.038364, 8.137311, 5.293312, 
50, 3.961417, 5.174409, 2.962356, 1.633984, -2.702763, 6.712007, 5.272683, 
50, 4.001238, 5.110178, 3.037930, 1.511473, -2.450232, 5.050631, 5.263715, 
50, 4.037841, 5.050629, 3.107829, 1.397978, -2.269892, 3.606802, 5.264956, 
50, 4.071956, 4.995848, 3.172364, 1.290697, -2.145624, 2.485361, 5.275406, 
50, 4.104084, 4.945910, 3.231744, 1.187611, -2.061719, 1.678095, 5.294388, 
50, 4.134544, 4.900872, 3.286115, 1.087421, -2.003791, 1.158552, 5.321436, 
50, 4.163513, 4.860764, 3.335591, 0.989513, -1.958168, 0.912474, 5.356185, 
50, 4.191054, 4.825559, 3.380289, 0.893955, -1.911153, 0.940292, 5.398255, 
50, 4.217156, 4.795149, 3.420364, 0.801509, -1.848928, 1.244503, 5.447147, 
