Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 4.311000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 4.311000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 4.311000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 4.311000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 4.311000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 4.311000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 4.311000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 4.311000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 4.311000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 4.311000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 4.311000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 4.311000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 4.311000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 4.311000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 4.311000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 4.311000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 4.311000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 4.311000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 4.311000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 4.311000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 4.311000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 4.311000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 4.311000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 4.311000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 4.311000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 4.311000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 4.311000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 4.311000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 4.311000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 4.311000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 4.311000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 4.311000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 4.311000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 4.311000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 4.311000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 4.311000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 4.311000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.054426, 4.310606, 1.804444, 1.888889, 1.777771, 25.555414, 6.268826, 
50, 3.151897, 4.308013, 1.901950, 1.950102, 1.224262, -11.070168, 6.244686, 
50, 3.248571, 4.303213, 1.998743, 1.935876, -0.284521, -30.175663, 6.222835, 
50, 3.344399, 4.296467, 2.094808, 1.921290, -0.291712, -0.143821, 6.203330, 
50, 3.439086, 4.288057, 2.189868, 1.901208, -0.401649, -2.198735, 6.186252, 
50, 3.531330, 4.278397, 2.282616, 1.854953, -0.925088, -10.468785, 6.171790, 
50, 3.620143, 4.267914, 2.372046, 1.788598, -1.327109, -8.040419, 6.159957, 
50, 3.705608, 4.256907, 2.458217, 1.723427, -1.303416, 0.473865, 6.150565, 
50, 3.787810, 4.245629, 2.541188, 1.659428, -1.279985, 0.468605, 6.143423, 
50, 3.866830, 4.234296, 2.621017, 1.596570, -1.257148, 0.456750, 6.138349, 
50, 3.942748, 4.223088, 2.697758, 1.534816, -1.235085, 0.441261, 6.135165, 
50, 4.015638, 4.212155, 2.771464, 1.474122, -1.213876, 0.424184, 6.133701, 
50, 4.085571, 4.201617, 2.842186, 1.414446, -1.193533, 0.406844, 6.133791, 
50, 4.152610, 4.191570, 2.909973, 1.355744, -1.174032, 0.390027, 6.135281, 
50, 4.216812, 4.182087, 2.974872, 1.297978, -1.155326, 0.374126, 6.138020, 
50, 4.278231, 4.173222, 3.036928, 1.241110, -1.137363, 0.359260, 6.141862, 
50, 4.336915, 4.165011, 3.096183, 1.185105, -1.120094, 0.345365, 6.146670, 
50, 4.392906, 4.157476, 3.152680, 1.129931, -1.103481, 0.332265, 6.152310, 
50, 4.446246, 4.150623, 3.206457, 1.075556, -1.087495, 0.319726, 6.158653, 
50, 4.496969, 4.144447, 3.257555, 1.021950, -1.072120, 0.307495, 6.165576, 
50, 4.545108, 4.138936, 3.306009, 0.969082, -1.057354, 0.295331, 6.172960, 
50, 4.590695, 4.134067, 3.351855, 0.916922, -1.043202, 0.283024, 6.180691, 
50, 4.633757, 4.129808, 3.395127, 0.865438, -1.029682, 0.270411, 6.188660, 
50, 4.674320, 4.126127, 3.435857, 0.814598, -1.016813, 0.257378, 6.196765, 
50, 4.712409, 4.122981, 3.474075, 0.764367, -1.004620, 0.243866, 6.204907, 
50, 4.748046, 4.120329, 3.509811, 0.714710, -0.993126, 0.229869, 6.212994, 
50, 4.781252, 4.118126, 3.543090, 0.665592, -0.982355, 0.215423, 6.220939, 
50, 4.812049, 4.116325, 3.573939, 0.616976, -0.972325, 0.200603, 6.228661, 
50, 4.840453, 4.114880, 3.602380, 0.568824, -0.963050, 0.185508, 6.236087, 
50, 4.866483, 4.113745, 3.628435, 0.521097, -0.954537, 0.170254, 6.243147, 
50, 4.890155, 4.112875, 3.652123, 0.473757, -0.946789, 0.154961, 6.249779, 
50, 4.911484, 4.112227, 3.673461, 0.426767, -0.939802, 0.139745, 6.255927, 
50, 4.930482, 4.111762, 3.692466, 0.380089, -0.933566, 0.124711, 6.261542, 
50, 4.947164, 4.111443, 3.709150, 0.333686, -0.928069, 0.109944, 6.266578, 
50, 4.961538, 4.111236, 3.723526, 0.287521, -0.923294, 0.095505, 6.270998, 
50, 4.973615, 4.111112, 3.735604, 0.241560, -0.919222, 0.081432, 6.274768, 
50, 4.983404, 4.111044, 3.745393, 0.195768, -0.915835, 0.067737, 6.277862, 
50, 4.990909, 4.111013, 3.752898, 0.150112, -0.913115, 0.054405, 6.280257, 
50, 4.996137, 4.111002, 3.758126, 0.104560, -0.911045, 0.041401, 6.281938, 
50, 4.999091, 4.111000, 3.761080, 0.059080, -0.909611, 0.028668, 6.282891, 
