Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 5.811000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 5.811000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 5.811000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 5.811000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 5.811000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 5.811000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 5.811000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 5.811000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 5.811000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 5.811000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 5.811000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 5.811000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 5.811000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 5.811000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 5.811000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 5.811000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 5.811000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 5.811000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 5.811000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 5.811000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 5.811000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 5.811000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 5.811000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 5.811000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 5.811000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 5.811000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 5.811000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 5.811000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 5.811000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 5.811000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 5.811000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 5.811000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 5.811000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 5.811000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 5.811000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 5.811000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 5.811000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.063823, 5.809589, 1.813850, 2.076993, 5.539868, 100.797353, 6.238505, 
50, 3.181171, 5.799151, 1.931661, 2.356233, 5.584792, 0.898479, 6.148952, 
50, 3.300446, 5.776952, 2.052985, 2.426475, 1.404848, -83.598868, 6.048067, 
50, 3.419485, 5.741459, 2.177202, 2.484345, 1.157385, -4.949259, 5.937841, 
50, 3.535236, 5.692123, 2.303029, 2.516528, 0.643662, -10.274460, 5.822419, 
50, 3.644373, 5.629867, 2.428674, 2.512905, -0.072456, -14.322370, 5.707582, 
50, 3.744236, 5.557008, 2.552290, 2.472325, -0.811594, -14.782757, 5.599296, 
50, 3.833520, 5.476581, 2.672458, 2.403353, -1.379451, -11.357135, 5.502142, 
50, 3.912311, 5.391502, 2.788417, 2.319175, -1.683546, -6.081905, 5.418565, 
50, 3.981644, 5.304081, 2.899994, 2.231542, -1.752663, -1.382336, 5.349113, 
50, 4.042975, 5.215924, 3.007386, 2.147842, -1.674007, 1.573110, 5.293145, 
50, 4.097819, 5.128074, 3.110950, 2.071284, -1.531159, 2.856965, 5.249503, 
50, 4.147569, 5.041195, 3.211065, 2.002298, -1.379716, 3.028866, 5.216965, 
50, 4.193180, 4.956225, 3.307503, 1.928754, -1.470890, -1.823475, 5.194579, 
50, 4.235145, 4.874621, 3.399265, 1.835245, -1.870170, -7.985608, 5.181532, 
50, 4.274095, 4.797211, 3.485923, 1.733154, -2.041827, -3.433146, 5.176862, 
50, 4.310804, 4.724093, 3.567738, 1.636301, -1.937053, 2.095490, 5.179724, 
50, 4.345858, 4.655364, 3.644890, 1.543047, -1.865077, 1.439508, 5.189540, 
50, 4.379691, 4.591120, 3.717498, 1.452166, -1.817621, 0.949131, 5.205926, 
