Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.251233, 3.311000, 0.001250, 0.050000, 1.000000, 20.000000, 0.000000, 
50, 1.254983, 3.311000, 0.005000, 0.075000, 0.500000, -10.000000, 0.000000, 
50, 1.261233, 3.311000, 0.011250, 0.125000, 1.000000, 10.000000, 0.000000, 
50, 1.269983, 3.311000, 0.020000, 0.175000, 1.000000, -0.000000, 0.000000, 
50, 1.281233, 3.311000, 0.031250, 0.225000, 1.000000, 0.000000, 0.000000, 
50, 1.294983, 3.311000, 0.045000, 0.275000, 1.000000, 0.000000, 0.000000, 
50, 1.311233, 3.311000, 0.061250, 0.325000, 1.000000, -0.000000, 0.000000, 
50, 1.329982, 3.311000, 0.080000, 0.375000, 1.000000, -0.000000, 0.000000, 
50, 1.351232, 3.311000, 0.101250, 0.425000, 1.000000, 0.000000, 0.000000, 
50, 1.374982, 3.311000, 0.125000, 0.475000, 1.000000, 0.000000, 0.000000, 
50, 1.401233, 3.311000, 0.151250, 0.525000, 1.000000, -0.000000, 0.000000, 
50, 1.429983, 3.311000, 0.180000, 0.575000, 1.000000, -0.000000, 0.000000, 
50, 1.461233, 3.311000, 0.211250, 0.625000, 1.000000, -0.000000, 0.000000, 
50, 1.494983, 3.311000, 0.245000, 0.675000, 1.000000, -0.000000, 0.000000, 
50, 1.531232, 3.311000, 0.281250, 0.725000, 1.000000, 0.000000, 0.000000, 
50, 1.569982, 3.311000, 0.320000, 0.775000, 1.000000, 0.000000, 0.000000, 
50, 1.611232, 3.311000, 0.361250, 0.825000, 1.000000, 0.000000, 0.000000, 
50, 1.654982, 3.311000, 0.405000, 0.875000, 1.000000, 0.000000, 0.000000, 
50, 1.701232, 3.311000, 0.451250, 0.925000, 1.000000, -0.000000, 0.000000, 
50, 1.749982, 3.311000, 0.500000, 0.975000, 1.000000, 0.000000, 0.000000, 
50, 1.801232, 3.311000, 0.551250, 1.025000, 1.000000, 0.000000, 0.000000, 
50, 1.854982, 3.311000, 0.605000, 1.075000, 1.000000, -0.000000, 0.000000, 
50, 1.911232, 3.311000, 0.661250, 1.125000, 1.000000, 0.000000, 0.000000, 
50, 1.969982, 3.311000, 0.720000, 1.175000, 1.000000, 0.000000, 0.000000, 
50, 2.031232, 3.311000, 0.781250, 1.225000, 1.000000, -0.000000, 0.000000, 
50, 2.094982, 3.311000, 0.845000, 1.275000, 1.000000, 0.000000, 0.000000, 
50, 2.161232, 3.311000, 0.911250, 1.325000, 1.000000, 0.000000, 0.000000, 
50, 2.229982, 3.311000, 0.980000, 1.375000, 1.000000, -0.000000, 0.000000, 
50, 2.301233, 3.311000, 1.051250, 1.425000, 1.000000, -0.000000, 0.000000, 
50, 2.374983, 3.311000, 1.125000, 1.475000, 1.000000, 0.000000, 0.000000, 
50, 2.451233, 3.311000, 1.201250, 1.525000, 1.000000, -0.000000, 0.000000, 
50, 2.529983, 3.311000, 1.280000, 1.575000, 1.000000, 0.000000, 0.000000, 
50, 2.611233, 3.311000, 1.361250, 1.625000, 1.000000, 0.000000, 0.000000, 
50, 2.694983, 3.311000, 1.445000, 1.675000, 1.000000, -0.000000, 0.000000, 
50, 2.781233, 3.311000, 1.531250, 1.725000, 1.000000, 0.000000, 0.000000, 
50, 2.869983, 3.311000, 1.620000, 1.775000, 1.000000, 0.000000, 0.000000, 
50, 2.959983, 3.311000, 1.710000, 1.800000, 0.500000, -10.000000, 0.000000, 
50, 3.036040, 3.311805, 1.786062, 1.521237, -5.575254, -121.505072, 0.044718, 
50, 3.100786, 3.317324, 1.851043, 1.299623, -4.432282, 22.859424, 0.125108, 
50, 3.165616, 3.328088, 1.916760, 1.314342, 0.294367, 94.532995, 0.203134, 
50, 3.230869, 3.344086, 1.983945, 1.343708, 0.587321, 5.859073, 0.276445, 
50, 3.296795, 3.365248, 2.053185, 1.384794, 0.821726, 4.688101, 0.343157, 
50, 3.363541, 3.391401, 2.124872, 1.433738, 0.978884, 3.143161, 0.402008, 
50, 3.430944, 3.422148, 2.198956, 1.481678, 0.958804, -0.401610, 0.452178, 
50, 3.498075, 3.456537, 2.274383, 1.508541, 0.537248, -8.431118, 0.493036, 
50, 3.564204, 3.493497, 2.350140, 1.515136, 0.131908, -8.106790, 0.524802, 
50, 3.629337, 3.532294, 2.425953, 1.516253, 0.022342, -2.191334, 0.548354, 
50, 3.693512, 3.572263, 2.501556, 1.512068, -0.083701, -2.120847, 0.564543, 
50, 3.756790, 3.612809, 2.576710, 1.503081, -0.179735, -1.920680, 0.574140, 
50, 3.819247, 3.653412, 2.651204, 1.489887, -0.263895, -1.683197, 0.577821, 
50, 3.880958, 3.693616, 2.724857, 1.473046, -0.336820, -1.458514, 0.576171, 
50, 3.941993, 3.733024, 2.797508, 1.453028, -0.400354, -1.270679, 0.569700, 
50, 4.002402, 3.771290, 2.869017, 1.430188, -0.456803, -1.128977, 0.558862, 
50, 4.062216, 3.808111, 2.939255, 1.404761, -0.508536, -1.034654, 0.544073, 
50, 4.121432, 3.843222, 3.008099, 1.376873, -0.557760, -0.984478, 0.525727, 
50, 4.180018, 3.876399, 3.075427, 1.346554, -0.606379, -0.972381, 0.504216, 
50, 4.237904, 3.907449, 3.141115, 1.313760, -0.655886, -0.990147, 0.479938, 
50, 4.294984, 3.936219, 3.205035, 1.278396, -0.707275, -1.027768, 0.453306, 
50, 4.351114, 3.962592, 3.267052, 1.240348, -0.760970, -1.073901, 0.424752, 
50, 4.406120, 3.986495, 3.327027, 1.199507, -0.816804, -1.116680, 0.394724, 
50, 4.459802, 4.007897, 3.384818, 1.155805, -0.874048, -1.144882, 0.363684, 
50, 4.511938, 4.026812, 3.440279, 1.109229, -0.931514, -1.149331, 0.332094, 
50, 4.562300, 4.043298, 3.493271, 1.059843, -0.987723, -1.124165, 0.300405, 
50, 4.610660, 4.057457, 3.543661, 1.007788, -1.041105, -1.067652, 0.269047, 
50, 4.656796, 4.069425, 3.591324, 0.953277, -1.090218, -0.982255, 0.238415, 
50, 4.700509, 4.079369, 3.636153, 0.896581, -1.133915, -0.873936, 0.208860, 
50, 4.741616, 4.087480, 3.678054, 0.838008, -1.171459, -0.750884, 0.180684, 
50, 4.779967, 4.093962, 3.716948, 0.777880, -1.202560, -0.622015, 0.154137, 
50, 4.815433, 4.099025, 3.752774, 0.716513, -1.227341, -0.495623, 0.129419, 
50, 4.847915, 4.102878, 3.785484, 0.654200, -1.246262, -0.378419, 0.106680, 
50, 4.877338, 4.105722, 3.815044, 0.591199, -1.260015, -0.275069, 0.086033, 
50, 4.903646, 4.107747, 3.841430, 0.527728, -1.269423, -0.188163, 0.067551, 
50, 4.926804, 4.109124, 3.864628, 0.463961, -1.275348, -0.118492, 0.051284, 
50, 4.946785, 4.110009, 3.884630, 0.400030, -1.278622, -0.065472, 0.037256, 
50, 4.963579, 4.110536, 3.901431, 0.336030, -1.280002, -0.027601, 0.025480, 
50, 4.977177, 4.110818, 3.915032, 0.272023, -1.280144, -0.002848, 0.015956, 
50, 4.987578, 4.110946, 3.925434, 0.208043, -1.279592, 0.011043, 0.008679, 
50, 4.994783, 4.110990, 3.932639, 0.144104, -1.278774, 0.016351, 0.003643, 
50, 4.998793, 4.110999, 3.936650, 0.080204, -1.278011, 0.015274, 0.000842, 
50, 5.000000, 4.111000, 3.937856, 0.024131, -1.121452, 3.131166, 0.000000, 
50, 5.000000, 4.111000, 3.937856, 0.000000, -0.482621, 12.776619, 0.000000, 
