Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.830022, 5.797400, 0.001250, 0.050000, 1.000000, 20.000000, 0.000036, 
50, 1.833738, 5.797400, 0.004966, 0.074321, 0.486423, -10.271544, 0.000145, 
50, 1.839932, 5.797402, 0.011160, 0.123875, 0.991084, 10.093231, 0.000326, 
50, 1.848604, 5.797406, 0.019832, 0.173440, 0.991288, 0.004075, 0.000577, 
50, 1.859755, 5.797414, 0.030983, 0.223018, 0.991573, 0.005705, 0.000895, 
50, 1.873386, 5.797429, 0.044614, 0.272615, 0.991940, 0.007335, 0.001279, 
50, 1.889497, 5.797453, 0.060725, 0.322235, 0.992388, 0.008966, 0.001723, 
50, 1.908091, 5.797490, 0.079319, 0.371881, 0.992918, 0.010597, 0.002225, 
50, 1.929169, 5.797542, 0.100397, 0.421557, 0.993530, 0.012229, 0.002778, 
50, 1.952732, 5.797615, 0.123961, 0.471268, 0.994223, 0.013861, 0.003378, 
50, 1.978783, 5.797711, 0.150011, 0.521018, 0.994997, 0.015493, 0.004018, 
50, 2.007323, 5.797836, 0.178552, 0.570811, 0.995854, 0.017125, 0.004692, 
50, 2.038356, 5.797992, 0.209585, 0.620651, 0.996791, 0.018757, 0.005391, 
50, 2.071882, 5.798185, 0.243112, 0.670541, 0.997811, 0.020389, 0.006108, 
50, 2.107906, 5.798418, 0.279136, 0.720487, 0.998912, 0.022021, 0.006834, 
50, 2.146429, 5.798696, 0.317661, 0.770491, 1.000095, 0.023653, 0.007558, 
50, 2.187456, 5.799021, 0.358688, 0.820559, 1.001359, 0.025284, 0.008272, 
50, 2.230989, 5.799396, 0.402223, 0.870695, 1.002705, 0.026915, 0.008965, 
50, 2.277032, 5.799824, 0.448268, 0.920901, 1.004132, 0.028545, 0.009624, 
50, 2.325589, 5.800307, 0.496827, 0.971183, 1.005641, 0.030175, 0.010237, 
50, 2.376663, 5.800844, 0.547905, 1.021545, 1.007231, 0.031805, 0.010793, 
50, 2.430259, 5.801436, 0.601504, 1.071990, 1.008903, 0.033435, 0.011277, 
50, 2.486382, 5.802081, 0.657630, 1.122523, 1.010656, 0.035064, 0.011675, 
50, 2.545035, 5.802775, 0.716288, 1.173147, 1.012490, 0.036694, 0.011973, 
50, 2.606224, 5.803514, 0.777481, 1.223868, 1.014407, 0.038325, 0.012155, 
50, 2.669954, 5.804291, 0.841215, 1.274688, 1.016405, 0.039956, 0.012205, 
50, 2.736229, 5.805097, 0.907496, 1.325612, 1.018484, 0.041588, 0.012107, 
50, 2.805057, 5.805923, 0.976328, 1.376644, 1.020645, 0.043221, 0.011842, 
50, 2.876441, 5.806753, 1.047718, 1.427789, 1.022888, 0.044854, 0.011394, 
50, 2.950389, 5.807573, 1.121670, 1.479049, 1.025212, 0.046487, 0.010743, 
50, 3.026907, 5.808363, 1.198192, 1.530430, 1.027618, 0.048118, 0.009870, 
50, 3.106000, 5.809101, 1.277288, 1.581935, 1.030105, 0.049746, 0.008755, 
50, 3.187676, 5.809761, 1.358967, 1.633569, 1.032674, 0.051368, 0.007377, 
50, 3.271941, 5.810314, 1.443234, 1.685335, 1.035323, 0.052979, 0.005716, 
50, 3.358802, 5.810727, 1.530095, 1.737238, 1.038051, 0.054574, 0.003748, 
50, 3.448265, 5.810962, 1.619559, 1.789281, 1.040859, 0.056146, 0.001452, 
50, 3.527334, 5.811484, 1.698630, 1.581415, -4.157316, -103.963485, 0.036529, 
50, 3.583779, 5.816318, 1.755282, 1.133031, -8.967686, -96.207415, 0.143673, 
50, 3.625962, 5.825305, 1.798412, 0.862599, -5.408623, 71.181275, 0.294253, 
50, 3.648917, 5.834466, 1.823126, 0.494293, -7.366135, -39.150254, 0.504038, 
50, 3.655228, 5.838774, 1.830768, 0.152835, -6.829149, 10.739734, 0.768793, 
50, 3.658969, 5.843901, 1.837115, 0.126930, -0.518107, 126.220837, 1.037719, 
50, 3.668108, 5.865309, 1.860392, 0.465543, 6.772267, 145.807465, 1.252131, 
50, 3.678409, 5.908382, 1.904679, 0.885746, 8.404050, 32.635677, 1.398993, 
50, 3.685668, 5.968834, 1.965565, 1.217725, 6.639587, -35.289264, 1.492536, 
50, 3.689104, 6.041427, 2.038240, 1.453489, 4.715268, -38.486383, 1.547779, 
50, 3.689712, 6.121718, 2.118533, 1.605859, 3.047402, -33.357326, 1.574091, 
50, 3.689152, 6.206776, 2.203593, 1.701211, 1.907058, -22.806885, 1.577042, 
50, 3.689000, 6.292192, 2.289009, 1.708308, 0.141931, -35.302537, 1.570796, 
50, 3.689000, 6.373170, 2.369987, 1.619566, -1.774844, -38.335500, 1.570796, 
50, 3.689000, 6.451648, 2.448465, 1.569566, -1.000000, 15.496886, 1.570796, 
50, 3.689000, 6.527626, 2.524444, 1.519566, -1.000000, 0.000000, 1.570796, 
50, 3.689000, 6.601105, 2.597922, 1.469566, -1.000000, 0.000000, 1.570796, 
50, 3.689000, 6.672083, 2.668900, 1.419566, -1.000000, -0.000000, 1.570796, 
50, 3.689000, 6.740561, 2.737378, 1.369566, -1.000000, 0.000000, 1.570796, 
50, 3.691058, 6.824045, 2.820887, 1.670175, 6.012186, 140.243729, 1.514353, 
50, 3.698941, 6.909575, 2.906780, 1.717867, 0.953832, -101.167096, 1.442219, 
50, 3.713195, 6.993890, 2.992292, 1.710226, -0.152813, -22.132887, 1.363263, 
50, 3.734169, 7.076185, 3.077217, 1.698509, -0.234334, -1.630427, 1.278142, 
50, 3.761932, 7.155377, 3.161135, 1.678351, -0.403177, -3.376860, 1.188214, 
50, 3.796123, 7.230206, 3.243405, 1.645411, -0.658790, -5.112257, 1.095539, 
50, 3.835895, 7.299427, 3.323238, 1.596659, -0.975047, -6.325148, 1.002667, 
50, 3.879968, 7.362046, 3.399812, 1.531475, -1.303676, -6.572577, 0.912244, 
50, 3.926815, 7.417502, 3.472408, 1.451913, -1.591230, -5.751082, 0.826586, 
50, 3.974897, 7.465724, 3.540504, 1.361931, -1.799646, -4.168309, 0.747370, 
50, 4.022852, 7.507049, 3.603809, 1.266088, -1.916864, -2.344372, 0.675539, 
50, 4.069597, 7.542091, 3.662230, 1.168421, -1.953340, -0.729518, 0.611382, 
50, 4.114342, 7.571590, 3.715823, 1.071873, -1.930956, 0.447678, 0.554718, 
50, 4.156550, 7.596304, 3.764735, 0.978235, -1.872763, 1.163875, 0.505076, 
50, 4.195881, 7.616946, 3.809153, 0.888367, -1.797363, 1.507991, 0.461849, 
50, 4.232132, 7.634146, 3.849278, 0.802493, -1.717466, 1.597931, 0.424394, 
50, 4.265196, 7.648443, 3.885301, 0.720460, -1.640665, 1.536026, 0.392091, 
50, 4.295025, 7.660293, 3.917397, 0.641916, -1.570887, 1.395566, 0.364378, 
50, 4.321605, 7.670071, 3.945718, 0.566429, -1.509738, 1.222969, 0.340765, 
50, 4.344945, 7.678085, 3.970396, 0.493554, -1.457498, 1.044818, 0.320830, 
50, 4.365064, 7.684585, 3.991539, 0.422866, -1.413762, 0.874718, 0.304221, 
50, 4.381986, 7.689772, 4.009238, 0.353974, -1.377839, 0.718448, 0.290650, 
50, 4.395733, 7.693803, 4.023564, 0.286525, -1.348971, 0.577358, 0.279885, 
50, 4.406327, 7.696801, 4.034574, 0.220203, -1.326448, 0.450459, 0.271744, 
50, 4.413785, 7.698857, 4.042310, 0.154720, -1.309667, 0.335624, 0.266092, 
50, 4.418120, 7.700030, 4.046801, 0.089812, -1.298155, 0.230236, 0.262837, 
50, 4.419507, 7.700403, 4.048238, 0.028736, -1.221516, 1.532779, 0.261799, 
50, 4.419507, 7.700403, 4.048238, 0.000000, -0.574721, 12.935913, 0.261799, 
