Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 0.001221, 0.311000, 0.001241, 0.049623, 0.992458, 19.849166, 0.000000, 
50, 0.004942, 0.311000, 0.004962, 0.074434, 0.496229, -9.924583, 0.000000, 
50, 0.011145, 0.311000, 0.011165, 0.124057, 0.992458, 9.924583, 0.000000, 
50, 0.019829, 0.311000, 0.019849, 0.173680, 0.992458, 0.000000, 0.000000, 
50, 0.030994, 0.311000, 0.031014, 0.223303, 0.992458, -0.000000, 0.000000, 
50, 0.044641, 0.311000, 0.044661, 0.272926, 0.992458, -0.000000, 0.000000, 
50, 0.060768, 0.311000, 0.060788, 0.322549, 0.992458, 0.000000, 0.000000, 
50, 0.079377, 0.311000, 0.079397, 0.372172, 0.992458, -0.000000, 0.000000, 
50, 0.100466, 0.311000, 0.100486, 0.421795, 0.992458, 0.000000, 0.000000, 
50, 0.124037, 0.311000, 0.124057, 0.471418, 0.992458, 0.000000, 0.000000, 
50, 0.150089, 0.311000, 0.150109, 0.521041, 0.992458, 0.000000, 0.000000, 
50, 0.178622, 0.311000, 0.178642, 0.570664, 0.992458, -0.000000, 0.000000, 
50, 0.209637, 0.311000, 0.209657, 0.620286, 0.992458, -0.000000, 0.000000, 
50, 0.243132, 0.311000, 0.243152, 0.669909, 0.992458, -0.000000, 0.000000, 
50, 0.279109, 0.311000, 0.279129, 0.719532, 0.992458, -0.000000, 0.000000, 
50, 0.317567, 0.311000, 0.317587, 0.769155, 0.992458, 0.000000, 0.000000, 
50, 0.358506, 0.311000, 0.358526, 0.818778, 0.992458, 0.000000, 0.000000, 
50, 0.401926, 0.311000, 0.401946, 0.868401, 0.992458, -0.000000, 0.000000, 
50, 0.447827, 0.311000, 0.447847, 0.918024, 0.992458, 0.000000, 0.000000, 
50, 0.496209, 0.311000, 0.496229, 0.967647, 0.992458, 0.000000, 0.000000, 
50, 0.547073, 0.311000, 0.547093, 1.017270, 0.992458, 0.000000, 0.000000, 
50, 0.600417, 0.311000, 0.600437, 1.066893, 0.992458, -0.000000, 0.000000, 
50, 0.656243, 0.311000, 0.656263, 1.116516, 0.992458, 0.000000, 0.000000, 
50, 0.714550, 0.311000, 0.714570, 1.166138, 0.992458, 0.000000, 0.000000, 
50, 0.775338, 0.311000, 0.775358, 1.215761, 0.992458, 0.000000, 0.000000, 
50, 0.838607, 0.311000, 0.838627, 1.265384, 0.992458, -0.000000, 0.000000, 
50, 0.904358, 0.311000, 0.904378, 1.315007, 0.992458, 0.000000, 0.000000, 
50, 0.972589, 0.311000, 0.972609, 1.364630, 0.992458, -0.000000, 0.000000, 
50, 1.041799, 0.311000, 1.041819, 1.384202, 0.391441, -12.020340, 0.000000, 
50, 1.109507, 0.311000, 1.109527, 1.354151, -0.601017, -19.849166, 0.000000, 
50, 1.174733, 0.311000, 1.174753, 1.304528, -0.992458, -7.828826, 0.000000, 
50, 1.237478, 0.311000, 1.237498, 1.254906, -0.992458, 0.000000, 0.000000, 
50, 1.297743, 0.311000, 1.297763, 1.205283, -0.992458, 0.000000, 0.000000, 
50, 1.355526, 0.311000, 1.355546, 1.155660, -0.992458, -0.000000, 0.000000, 
50, 1.410827, 0.311000, 1.410847, 1.106037, -0.992458, 0.000000, 0.000000, 
50, 1.463648, 0.311000, 1.463668, 1.056414, -0.992458, -0.000000, 0.000000, 
50, 1.513988, 0.311000, 1.514008, 1.006791, -0.992458, 0.000000, 0.000000, 
50, 1.561846, 0.311000, 1.561866, 0.957168, -0.992458, -0.000000, 0.000000, 
50, 1.607223, 0.311000, 1.607243, 0.907545, -0.992458, 0.000000, 0.000000, 
50, 1.650119, 0.311000, 1.650139, 0.857922, -0.992458, 0.000000, 0.000000, 
50, 1.690534, 0.311000, 1.690554, 0.808299, -0.992458, 0.000000, 0.000000, 
50, 1.728468, 0.311000, 1.728488, 0.758676, -0.992458, 0.000000, 0.000000, 
50, 1.763921, 0.311000, 1.763941, 0.709053, -0.992458, -0.000000, 0.000000, 
50, 1.796892, 0.311000, 1.796912, 0.659431, -0.992458, -0.000000, 0.000000, 
50, 1.827383, 0.311000, 1.827403, 0.609808, -0.992458, 0.000000, 0.000000, 
50, 1.855392, 0.311000, 1.855412, 0.560185, -0.992458, -0.000000, 0.000000, 
50, 1.880920, 0.311000, 1.880940, 0.510562, -0.992458, 0.000000, 0.000000, 
50, 1.903967, 0.311000, 1.903987, 0.460939, -0.992458, -0.000000, 0.000000, 
50, 1.924533, 0.311000, 1.924553, 0.411316, -0.992458, 0.000000, 0.000000, 
50, 1.942618, 0.311000, 1.942638, 0.361693, -0.992458, 0.000000, 0.000000, 
50, 1.958221, 0.311000, 1.958241, 0.312070, -0.992458, -0.000000, 0.000000, 
50, 1.971343, 0.311000, 1.971363, 0.262447, -0.992458, 0.000000, 0.000000, 
50, 1.981985, 0.311000, 1.982005, 0.212824, -0.992458, 0.000000, 0.000000, 
50, 1.990145, 0.311000, 1.990165, 0.163201, -0.992458, 0.000000, 0.000000, 
50, 1.995824, 0.311000, 1.995844, 0.113578, -0.992458, 0.000000, 0.000000, 
50, 1.999021, 0.311000, 1.999041, 0.063956, -0.992458, -0.000000, 0.000000, 
50, 2.000000, 0.311000, 2.000020, 0.019572, -0.887670, 2.095757, 0.000000, 
50, 2.000000, 0.311000, 2.000020, 0.000000, -0.391441, 9.924583, 0.000000, 
