Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.595514, 5.519920, 0.001250, 0.050000, 1.000000, 20.000000, 0.523733, 
50, 1.598650, 5.521731, 0.004871, 0.072422, 0.448437, -11.031266, 0.524148, 
50, 1.603874, 5.524754, 0.010907, 0.120714, 0.965849, 10.348237, 0.524837, 
50, 1.611186, 5.528992, 0.019358, 0.169024, 0.966185, 0.006731, 0.525797, 
50, 1.620582, 5.534452, 0.030226, 0.217356, 0.966657, 0.009440, 0.527026, 
50, 1.632060, 5.541143, 0.043512, 0.265720, 0.967265, 0.012166, 0.528518, 
50, 1.645617, 5.549075, 0.059218, 0.314120, 0.968011, 0.014911, 0.530267, 
50, 1.661246, 5.558259, 0.077346, 0.362565, 0.968895, 0.017680, 0.532267, 
50, 1.678944, 5.568710, 0.097899, 0.411061, 0.969919, 0.020473, 0.534508, 
50, 1.698705, 5.580441, 0.120880, 0.459615, 0.971083, 0.023293, 0.536981, 
50, 1.720523, 5.593470, 0.146292, 0.508235, 0.972390, 0.026141, 0.539676, 
50, 1.744390, 5.607813, 0.174138, 0.556927, 0.973841, 0.029015, 0.542582, 
50, 1.770301, 5.623491, 0.204423, 0.605698, 0.975437, 0.031914, 0.545685, 
50, 1.798248, 5.640523, 0.237151, 0.654557, 0.977179, 0.034835, 0.548972, 
50, 1.828223, 5.658930, 0.272326, 0.703511, 0.979067, 0.037776, 0.552427, 
50, 1.860219, 5.678734, 0.309955, 0.752566, 0.981104, 0.040731, 0.556033, 
50, 1.894226, 5.699956, 0.350041, 0.801730, 0.983289, 0.043696, 0.559774, 
50, 1.930239, 5.722620, 0.392592, 0.851011, 0.985622, 0.046664, 0.563631, 
50, 1.968248, 5.746749, 0.437612, 0.900417, 0.988103, 0.049631, 0.567583, 
50, 2.008246, 5.772364, 0.485110, 0.949953, 0.990733, 0.052589, 0.571610, 
50, 2.050227, 5.799490, 0.535092, 0.999629, 0.993509, 0.055532, 0.575689, 
50, 2.094182, 5.828148, 0.587564, 1.049450, 0.996432, 0.058454, 0.579796, 
50, 2.140107, 5.858359, 0.642535, 1.099425, 0.999500, 0.061352, 0.583908, 
50, 2.187997, 5.890145, 0.700013, 1.149561, 1.002711, 0.064219, 0.587998, 
50, 2.237846, 5.923525, 0.760007, 1.199864, 1.006063, 0.067053, 0.592039, 
50, 2.289653, 5.958516, 0.822524, 1.250342, 1.009556, 0.069853, 0.596003, 
50, 2.343416, 5.995136, 0.887574, 1.301001, 1.013187, 0.072618, 0.599861, 
50, 2.399136, 6.033399, 0.955166, 1.351849, 1.016954, 0.075352, 0.603583, 
50, 2.456815, 6.073317, 1.025311, 1.402892, 1.020857, 0.078058, 0.607137, 
50, 2.516457, 6.114900, 1.098018, 1.454136, 1.024894, 0.080741, 0.610491, 
50, 2.578070, 6.158153, 1.173297, 1.505590, 1.029065, 0.083412, 0.613612, 
50, 2.641663, 6.203081, 1.251160, 1.557258, 1.033369, 0.086079, 0.616464, 
50, 2.707250, 6.249684, 1.331617, 1.609148, 1.037807, 0.088754, 0.619013, 
50, 2.774846, 6.297957, 1.414681, 1.661267, 1.042379, 0.091451, 0.621220, 
50, 2.844471, 6.347892, 1.500362, 1.713622, 1.047088, 0.094183, 0.623050, 
50, 2.916150, 6.399476, 1.588673, 1.766219, 1.051936, 0.096962, 0.624461, 
50, 2.988900, 6.451961, 1.678379, 1.794125, 0.558129, -9.876152, 0.625406, 
50, 3.061737, 6.504586, 1.768238, 1.797175, 0.061007, -9.942435, 0.625860, 
50, 3.134686, 6.557316, 1.858249, 1.800225, 0.060997, -0.000200, 0.625824, 
50, 3.207774, 6.610115, 1.948413, 1.803275, 0.060997, 0.000001, 0.625297, 
50, 3.280875, 6.662837, 2.038543, 1.802605, -0.013403, -1.487992, 0.624283, 
50, 3.352993, 6.714714, 2.127381, 1.776766, -0.516777, -10.067484, 0.622808, 
50, 3.423271, 6.765088, 2.213848, 1.729327, -0.948791, -8.640285, 0.620921, 
50, 3.491712, 6.813931, 2.297930, 1.681646, -0.953619, -0.096551, 0.618661, 
50, 3.558318, 6.861220, 2.379617, 1.633730, -0.958307, -0.093774, 0.616067, 
50, 3.623088, 6.906939, 2.458896, 1.585587, -0.962860, -0.091045, 0.613173, 
50, 3.686015, 6.951072, 2.535757, 1.537224, -0.967277, -0.088349, 0.610017, 
50, 3.747094, 6.993611, 2.610189, 1.488646, -0.971561, -0.085673, 0.606632, 
50, 3.806313, 7.034550, 2.682182, 1.439860, -0.975711, -0.083005, 0.603052, 
50, 3.863663, 7.073887, 2.751726, 1.390874, -0.979727, -0.080332, 0.599308, 
50, 3.919129, 7.111621, 2.818811, 1.341693, -0.983610, -0.077645, 0.595433, 
50, 3.972696, 7.147757, 2.883427, 1.292325, -0.987357, -0.074936, 0.591457, 
50, 4.024349, 7.182300, 2.945566, 1.242777, -0.990966, -0.072199, 0.587407, 
50, 4.074070, 7.215259, 3.005219, 1.193055, -0.994438, -0.069429, 0.583313, 
50, 4.121841, 7.246644, 3.062377, 1.143167, -0.997769, -0.066626, 0.579201, 
50, 4.167643, 7.276467, 3.117033, 1.093119, -1.000959, -0.063788, 0.575097, 
50, 4.211458, 7.304741, 3.169179, 1.042918, -1.004004, -0.060917, 0.571025, 
50, 4.253267, 7.331482, 3.218807, 0.992573, -1.006905, -0.058018, 0.567009, 
50, 4.293049, 7.356704, 3.265912, 0.942090, -1.009660, -0.055093, 0.563070, 
50, 4.330787, 7.380425, 3.310486, 0.891477, -1.012267, -0.052149, 0.559230, 
50, 4.366462, 7.402661, 3.352523, 0.840740, -1.014727, -0.049191, 0.555508, 
50, 4.400055, 7.423430, 3.392017, 0.789889, -1.017038, -0.046225, 0.551923, 
50, 4.431548, 7.442748, 3.428964, 0.738928, -1.019201, -0.043258, 0.548493, 
50, 4.460926, 7.460633, 3.463357, 0.687868, -1.021216, -0.040295, 0.545233, 
50, 4.488171, 7.477102, 3.495193, 0.636714, -1.023083, -0.037343, 0.542158, 
50, 4.513268, 7.492171, 3.524466, 0.585473, -1.024803, -0.034405, 0.539283, 
50, 4.536203, 7.505855, 3.551174, 0.534155, -1.026378, -0.031487, 0.536621, 
50, 4.556964, 7.518170, 3.575312, 0.482764, -1.027807, -0.028592, 0.534181, 
50, 4.575537, 7.529129, 3.596878, 0.431309, -1.029093, -0.025722, 0.531976, 
50, 4.591912, 7.538746, 3.615868, 0.379798, -1.030237, -0.022879, 0.530013, 
50, 4.606079, 7.547031, 3.632279, 0.328236, -1.031240, -0.020062, 0.528302, 
50, 4.618030, 7.553994, 3.646111, 0.276630, -1.032104, -0.017272, 0.526849, 
50, 4.627757, 7.559644, 3.657360, 0.224989, -1.032829, -0.014507, 0.525659, 
50, 4.635255, 7.563989, 3.666026, 0.173318, -1.033418, -0.011764, 0.524739, 
50, 4.640519, 7.567034, 3.672108, 0.121625, -1.033870, -0.009041, 0.524090, 
50, 4.643546, 7.568783, 3.675603, 0.069915, -1.034186, -0.006333, 0.523717, 
50, 4.644500, 7.569334, 3.676705, 0.022029, -0.957731, 1.529111, 0.523599, 
50, 4.644500, 7.569334, 3.676705, 0.000000, -0.440574, 10.343137, 0.523599, 
